,CITATION NUMBER,OFF FROM DATE,OFF TIME,RACE-ORIGIN CODE,CASE PARTY SEX,REASON FOR STOP,RACE KNOWN,VL STREET NAME,MSEARCH Y/N,MSEARCH TYPE,MSEARCH FOUND,latitude,longitude
202,13763985.0,11/19/2015 12:00:00 AM,10:12:00,H,M,1.0,N,1400 BLOCK EAST RUNDBERG,N,,,30.351942,-97.67776
203,13763986.0,11/19/2015 12:00:00 AM,10:36:00,H,M,1.0,N,1400 BLOCK EAST RUNDBERG LANE,N,,,30.351942,-97.67776
204,13767568.0,02/08/2015 12:00:00 AM,12:30:00,H,M,1.0,N,2400 BLOCK AVENUE N,N,,,30.432865,-97.68995
205,13767569.0,04/24/2015 12:00:00 AM,0:00:00,W,M,5.0,N,11200 BLOCK BURNET ROAD,N,,,30.39251,-97.72135
206,13774665.0,12/14/2015 12:00:00 AM,13:10:00,O,M,1.0,N,2400 BARTON SPRINGS,N,,,30.246304,-97.78445
207,13779199.0,01/03/2015 12:00:00 AM,10:01:00,B,F,1.0,N,200 BLOCK MARTIN LUTHER KING JUNIOR,N,,,30.2809859,-97.7375308
208,13787407.0,03/25/2015 12:00:00 AM,15:23:00,,M,1.0,N,EAST 8TH STREET AT IH35,N,,,30.26848,-97.7392089
209,13787409.0,03/26/2015 12:00:00 AM,16:51:00,H,M,1.0,N,183 SERVICE ROAD,N,,,30.2106058,-97.6730303
210,13788210.0,04/16/2015 12:00:00 AM,19:36:00,W,F,1.0,N,41ST STREET AT NORTH IH35,N,,,30.2979249,-97.7196486
211,13788211.0,09/23/2015 12:00:00 AM,19:52:00,H,M,1.0,N,ED BLUESTEIN BOULEVARD AT,N,,,30.2823493,-97.6663852
212,13794729.0,01/01/2015 12:00:00 AM,9:40:00,W,M,1.0,N,EAST AVENUE,N,,,30.2555843,-97.73881879999999
213,13794730.0,01/01/2015 12:00:00 AM,10:48:00,W,M,1.0,N,CHICON STREET,N,,,30.2656279,-97.7207286
214,13794731.0,01/07/2015 12:00:00 AM,0:00:00,B,M,8.0,N,600 BLOCK EAST 7TH STREET,N,,,30.267376,-97.73677
215,13794732.0,01/07/2015 12:00:00 AM,9:46:00,W,M,1.0,N,100 BLOCK WEST 5TH STREET,N,,,30.26715,-97.74323
216,13794733.0,01/12/2015 12:00:00 AM,10:05:00,H,M,1.0,N,SAN MARCOS STREET,N,,,30.2619504,-97.73400439999999
217,13794735.0,02/02/2015 12:00:00 AM,10:25:00,W,F,1.0,N,800 BLOCK WILLOW STREET,N,,,30.260933,-97.73932
218,13794736.0,02/02/2015 12:00:00 AM,14:30:00,W,M,1.0,N,1100 BLOCK EAST 6TH STREET,N,,,30.264742,-97.73149
219,13794737.0,02/07/2015 12:00:00 AM,11:04:00,W,F,1.0,N,400 BLOCK COMAL STREET,N,,,30.26124,-97.727394
220,13794738.0,02/07/2015 12:00:00 AM,13:13:00,W,M,1.0,N,1200 BLOCK EAST 2ND STREET,N,,,30.260809,-97.73211
221,13794739.0,02/07/2015 12:00:00 AM,13:32:00,B,M,1.0,N,1300 BLOCK EAST CESAR CHAVEZ STREET,N,,,30.259544,-97.731544
222,13795097.0,04/06/2015 12:00:00 AM,17:30:00,W,M,1.0,N,38TH STREET,N,,,30.3058678,-97.74457939999999
